Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
AAE,AAE-Aero & Astro Engineering,20000,Ugrad Sophomore Seminar,202210,Fall 2021,001,17446,"Marais, Karen",,,,,,,,,,,,,,,,,,,,,,,97.1%,,2.3%,0.6%,,,,
,,20300,Aeromechanics I,202210,Fall 2021,002,67031,"Arnas Martinez, David",12.6%,,,,21.1%,,,36.0%,,,15.4%,,,,10.9%,,,,,,,,,,,4.0%,,,,
,,,,,,003,13363,"Hassan, Hashim",9.3%,,,,37.1%,,,27.1%,,,14.3%,,,,10.7%,,,,0.7%,,,,,,,0.7%,,,,
,,,,,,004,27568,"Power, Rolfe J.",25.0%,,,,28.6%,,,21.4%,,,7.1%,,,,17.9%,,,,,,,,,,,,,,,
,,20400,Aeromechanics II,202210,Fall 2021,001,10002,"Tallman, Tyler N.",9.3%,13.3%,,,13.3%,9.3%,16.0%,9.3%,6.7%,13.3%,,,,,8.0%,,,,,,,,,,,1.3%,,,,
,,20401,Aeromechanics II Lab,202210,Fall 2021,001,10006,"Ness, Samantha G.",90.9%,,,,9.1%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10004,"Ness, Samantha G.",91.7%,,,,8.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,10003,"Ness, Samantha G.",91.7%,,,,8.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,10005,"Ness, Samantha G.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,006,14924,"Wen, Yuhao",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,009,17438,"Ness, Samantha G.",91.7%,,,,8.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,011,22745,"Wen, Yuhao",83.3%,,,,16.7%,,,,,,,,,,,,,,,,,,,,,,,,,
,,25100,Intro Aerospace Design,202210,Fall 2021,002,57302,"Marais, Karen",25.4%,40.2%,2.5%,,8.2%,1.6%,14.8%,,2.5%,1.6%,,,,,0.8%,,,,,,,,,,,2.5%,,,,
,,,,,,003,11910,"Thapliyal, Omanshu",20.8%,36.0%,3.2%,,12.0%,6.4%,10.4%,0.8%,2.4%,1.6%,,,0.8%,,3.2%,,,,0.8%,,,,,,,1.6%,,,,
,,30000,Ugrad Junior Seminar,202210,Fall 2021,001,56743,"Marais, Karen",,,,,,,,,,,,,,,,,,,,,,,97.8%,,2.2%,,,,,
,,30100,Sig Anly For Aero Engr,202210,Fall 2021,001,10010,"Sun, Dengfeng",29.2%,16.8%,1.8%,,17.7%,7.1%,16.8%,4.4%,,2.7%,0.9%,,0.9%,,0.9%,,,,,,,,,,,0.9%,,,,
,,,,,,002,13304,"Goppert, James M.",23.5%,28.7%,6.1%,,13.0%,7.0%,11.3%,1.7%,,3.5%,0.9%,,,,2.6%,,,,,,,,,,,1.7%,,,,
,,33300,Fluid Mechanics,202210,Fall 2021,002,11528,"Adhikari, Nirajan",21.4%,12.6%,9.7%,,22.3%,8.7%,16.5%,1.9%,,3.9%,1.0%,,,,1.9%,,,,,,,,,,,,,,,
,,,,,,003,13884,"Jewell, Joseph S.",24.7%,14.0%,8.7%,0.7%,10.0%,10.0%,20.7%,3.3%,1.3%,3.3%,,,,,2.7%,,,,,,,,,,,0.7%,,,,
,,33301,Fluid Mechanics Lab,202210,Fall 2021,001,10012,"Katabathuni, Mahendra V.",25.0%,25.0%,31.3%,,6.3%,,6.3%,6.3%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10013,"Gutierrez, Gabriel",31.3%,6.3%,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,10014,"Gutierrez, Gabriel",21.4%,21.4%,35.7%,,,,21.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,10015,"Miller, Colin A.",38.5%,7.7%,46.2%,,,,,,,7.7%,,,,,,,,,,,,,,,,,,,,
,,,,,,005,10016,"Kosloske, Triston A.",50.0%,18.8%,18.8%,,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,008,10019,"Gutierrez, Gabriel",56.3%,6.3%,25.0%,,6.3%,,6.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,010,10021,"Gajjar, Pallavi J.",31.3%,12.5%,50.0%,,,,6.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,015,14928,"Gajjar, Pallavi J.",16.7%,,50.0%,,8.3%,8.3%,8.3%,,8.3%,,,,,,,,,,,,,,,,,,,,,
,,,,,,016,19021,"Kosloske, Triston A.",18.8%,6.3%,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,017,19022,"Kosloske, Triston A.",50.0%,6.3%,31.3%,,,,6.3%,,,6.3%,,,,,,,,,,,,,,,,,,,,
,,,,,,018,15764,"Katabathuni, Mahendra V.",37.5%,,50.0%,,,,,,6.3%,,,,,,,,,,,,,,,,,6.3%,,,,
,,,,,,019,15766,"Cai, Wenjie",37.5%,,56.3%,,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,
