Fall 2023;AAE;20000;Ugrad Sophomore Seminar;Marais, Karen;;;;;;;100.0%
Fall 2023;AAE;20300;Aeromechanics I;Agyei, Ronald F.;23.1%;46.2%;21.2%;3.8%;3.8%;1.0%;1.0%
Fall 2023;AAE;20300;Aeromechanics I;De Camargo Branco, Danilo;19.3%;50.9%;28.1%;1.8%;;;
Fall 2023;AAE;20300;Aeromechanics I;Hassan, Hashim;27.9%;47.0%;18.6%;3.8%;1.6%;1.1%;
Fall 2023;AAE;20400;Aeromechanics II;Tallman, Tyler N.;36.9%;35.7%;14.3%;8.3%;4.8%;;
Fall 2023;AAE;20401;Aeromechanics II Lab;Chang, Brian C.;100.0%;;;;;;
Fall 2023;AAE;20401;Aeromechanics II Lab;Meka, Sai Krishna;100.0%;;;;;;
Fall 2023;AAE;20401;Aeromechanics II Lab;Sun, Yao;96.9%;3.1%;;;;;
Fall 2023;AAE;25100;Intro Aerospace Design;Cunningham, Thomas F.;69.6%;26.5%;1.0%;;;2.9%;
Fall 2023;AAE;25100;Intro Aerospace Design;De Camargo Branco, Danilo;70.9%;25.3%;1.9%;;0.6%;1.3%;
Fall 2023;AAE;29199;Cooperative Experience I;Gurk, Amanda L.;;;;;;;100.0%
Fall 2023;AAE;29299;Cooperative Experience II;Gurk, Amanda L.;;;;;;;100.0%
Fall 2023;AAE;30000;Ugrad Junior Seminar;Marais, Karen;;;;;;0.3%;99.7%
Fall 2023;AAE;30100;Sig Anly For Aero Engr;Goppert, James M.;43.7%;40.5%;7.9%;1.6%;4.0%;2.4%;
Fall 2023;AAE;30100;Sig Anly For Aero Engr;Li, Husheng;66.3%;22.1%;5.3%;4.2%;;2.1%;
Fall 2023;AAE;30100;Sig Anly For Aero Engr;Sun, Dengfeng;67.1%;25.0%;3.9%;1.3%;2.6%;;
Fall 2023;AAE;30100;Sig Anly For Aero Engr-Honors;Goppert, James M.;75.0%;25.0%;;;;;
Fall 2023;AAE;30100;Sig Anly For Aero Engr-Honors;Sun, Dengfeng;;100.0%;;;;;
Fall 2023;AAE;33300;Fluid Mechanics;Canino, James V.;31.4%;44.9%;18.6%;3.4%;1.7%;;
Fall 2023;AAE;33300;Fluid Mechanics;Jewell, Joseph S.;24.6%;49.2%;21.3%;2.5%;0.8%;1.6%;
Fall 2023;AAE;33300;Fluid Mechanics;Maeda, Kazuki;20.0%;40.0%;35.6%;4.4%;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Anilkumar, Aditya;92.7%;2.4%;4.9%;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Bigelow, Tristan J.;100.0%;;;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Gai, Tianyu;97.6%;2.4%;;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Goilo, Samuel R.;90.7%;9.3%;;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Haver, Samuel G.;92.9%;7.1%;;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Lu, Zehao;88.9%;11.1%;;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Manikam Bhoopathy, Saron;100.0%;;;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Moy, Chandler J.;93.3%;6.7%;;;;;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Pati, Biswaranjan;92.9%;2.4%;2.4%;;;2.4%;
Fall 2023;AAE;33301;Fluid Mechanics Lab;Velu, Dileepan;97.6%;2.4%;;;;;
Fall 2023;AAE;33400;Aerodynamics;Canino, James V.;44.3%;22.6%;16.0%;6.6%;6.6%;2.8%;0.9%
Fall 2023;AAE;33401;Aerodynamics Lab;Anilkumar, Aditya;77.8%;11.1%;11.1%;;;;
Fall 2023;AAE;33401;Aerodynamics Lab;Gai, Tianyu;85.7%;;7.1%;;;7.1%;
Fall 2023;AAE;33401;Aerodynamics Lab;Goilo, Samuel R.;76.5%;11.8%;;;;11.8%;
Fall 2023;AAE;33401;Aerodynamics Lab;Haver, Samuel G.;100.0%;;;;;;
Fall 2023;AAE;33401;Aerodynamics Lab;Manikam Bhoopathy, Saron;83.3%;16.7%;;;;;
Fall 2023;AAE;33401;Aerodynamics Lab;Moy, Chandler J.;100.0%;;;;;;
Fall 2023;AAE;33401;Aerodynamics Lab;Pati, Biswaranjan;100.0%;;;;;;
Fall 2023;AAE;33401;Aerodynamics Lab;Velu, Dileepan;71.4%;14.3%;;;;14.3%;
Fall 2023;AAE;33800;Thermal Sciences;Wang, Haifeng;36.0%;36.0%;24.0%;;;4.0%;
Fall 2023;AAE;33900;Aerospace Propulsion;Heister, Stephen D.;32.7%;41.8%;13.3%;4.1%;4.1%;3.1%;1.0%
Fall 2023;AAE;34000;Dynamics & Vibrations;Arnas Martinez, David;16.3%;29.3%;30.4%;16.3%;3.3%;4.3%;
Fall 2023;AAE;34000;Dynamics & Vibrations;Frueh, Carolin E.;39.6%;39.6%;13.2%;3.3%;1.1%;3.3%;
Fall 2023;AAE;34000;Dynamics & Vibrations-Honors;Arnas Martinez, David;50.0%;50.0%;;;;;
Fall 2023;AAE;35103;Aerospace Systems Design;Leifsson, Leifur T.;52.5%;38.4%;5.1%;1.0%;2.0%;1.0%;
Fall 2023;AAE;35200;Structural Analysis I;Agyei, Ronald F.;9.8%;41.1%;34.8%;9.8%;3.6%;;0.9%
Fall 2023;AAE;35200;Structural Analysis I;Hassan, Hashim;15.4%;46.2%;29.1%;5.1%;3.4%;;0.9%
Fall 2023;AAE;35200;Structural Analysis I;Yu, Wenbin;10.9%;48.2%;32.7%;6.4%;0.9%;0.9%;
Fall 2023;AAE;35201;Struct Anly I Lab;Enos, Ryan S.;80.0%;20.0%;;;;;
Fall 2023;AAE;36400;Control System Anly;Hwang, Inseok;23.0%;39.3%;28.1%;6.7%;1.5%;1.5%;
Fall 2023;AAE;36401;Control Systems Lab;Choi, Yooseung;76.8%;21.4%;;;1.8%;;
Fall 2023;AAE;36401;Control Systems Lab;Gutierrez Valdes, Andres;67.3%;24.5%;8.2%;;;;
Fall 2023;AAE;36401;Control Systems Lab;Hoyos, Jose D.;83.3%;16.7%;;;;;
Fall 2023;AAE;36401;Control Systems Lab;Mishra, Ritik K.;80.0%;20.0%;;;;;
Fall 2023;AAE;36401;Control Systems Lab;Sailor, Nathaniel P.;68.8%;22.9%;4.2%;;;4.2%;
Fall 2023;AAE;38199;Prof Practice Co-Op I;Gurk, Amanda L.;;;;;;;100.0%
Fall 2023;AAE;38399;Prof Practice Co-Op III;Gurk, Amanda L.;;;;;;;100.0%
Fall 2023;AAE;39399;Cooperative Experience III;Gurk, Amanda L.;;;;;;;100.0%
Fall 2023;AAE;39699;Prof Practice Internship;Gurk, Amanda L.;;;;;;;100.0%
Fall 2023;AAE;40000;Ugrad Senior Seminar;Crossley, William A.;72.0%;22.0%;2.7%;1.3%;0.7%;1.3%;
Fall 2023;AAE;41200;Intro Comp Fluid Dyn;Blaisdell, Gregory A.;44.9%;33.3%;9.0%;1.3%;;9.0%;2.6%
Fall 2023;AAE;41600;Viscous Flows;Shih, Tom I.;46.7%;40.0%;;;;6.7%;6.7%
Fall 2023;AAE;41800;Zero-Gravity Flt Exper;Collicott, Steven H.;85.7%;14.3%;;;;;
Fall 2023;AAE;42100;Flight Dynam & Control;Corless, Martin;55.3%;28.9%;15.8%;;;;
Fall 2023;AAE;42100;Flight Dynam & Control;Dai, Ran;53.7%;29.9%;9.0%;6.0%;1.5%;;
Fall 2023;AAE;43900;Rocket Propulsion;Heister, Stephen D.;60.8%;37.1%;1.0%;;;1.0%;
Fall 2023;AAE;44000;Spacecraft Att Dynam;Oguri, Kenshiro;42.9%;20.0%;9.5%;10.5%;11.4%;4.8%;1.0%
Fall 2023;AAE;45000;Spacecraft Design;Cofer, Anthony G.;100.0%;;;;;;
Fall 2023;AAE;45000;Spacecraft Design;Garrison, James L.;50.8%;49.2%;;;;;
Fall 2023;AAE;45100;Aircraft Design;Leifsson, Leifur T.;74.2%;25.8%;;;;;
Fall 2023;AAE;45100;Aircraft Design;Qiao, Li;100.0%;;;;;;
Fall 2023;AAE;49000;ADE Engr Test Unit Build Test;Cofer, Anthony G.;88.9%;11.1%;;;;;
Fall 2023;AAE;49000;TracSat DBT;Shashurin, Alexey;100.0%;;;;;;
Fall 2023;AAE;49700;3D Printing PZT Modified TPU;Tallman, Tyler N.;100.0%;;;;;;
Fall 2023;AAE;49700;Accident Case Studies;Marais, Karen;100.0%;;;;;;
Fall 2023;AAE;49700;Accident Search And Modelling;Marais, Karen;100.0%;;;;;;
Fall 2023;AAE;49700;AI/ML For Autonomous ATM Sys;Hwang, Inseok;100.0%;;;;;;
Fall 2023;AAE;49700;Aircraft Reliability Study;Marais, Karen;100.0%;;;;;;
Fall 2023;AAE;49700;Autonomous Asteroid SLAM;Oguri, Kenshiro;100.0%;;;;;;
Fall 2023;AAE;49700;Combustion Lab Independent Stu;Son, Steven F.;100.0%;;;;;;
Fall 2023;AAE;49700;Composites Mfg Decarbonization;Zhang, Dianyun;100.0%;;;;;;
