Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
AAE;AAE-Aero & Astro Engineering;20000;Ugrad Sophomore Seminar;202420;Spring 2024;001;26216;Marais, Karen;;;;;;;;;;;;;;;;;;;;93.3%;;6.7%;;
;;20300;Aeromechanics I;202420;Spring 2024;001;10001;Cunningham, Thomas F.;28.2%;;;;26.9%;;;16.7%;;10.3%;3.8%;;3.8%;;1.3%;1.3%;;;;;;;7.7%;
;;20400;Aeromechanics II;202420;Spring 2024;002;42578;Joshi, Pankaj;6.0%;10.0%;8.0%;;10.0%;16.0%;8.0%;6.0%;6.0%;14.0%;4.0%;;4.0%;;4.0%;;;;;;;;4.0%;
;;;;;;003;13056;Agyei, Ronald F.;20.0%;15.0%;1.7%;;10.0%;20.0%;13.3%;10.0%;3.3%;3.3%;3.3%;;;;;;;;;;;;;
;;;;;;004;23944;De Camargo Branco, Danilo;12.0%;13.3%;;;12.0%;16.0%;14.7%;8.0%;5.3%;10.7%;2.7%;;1.3%;;4.0%;;;;;;;;;
;;;;;;005;15208;Agyei, Ronald F.;6.4%;10.6%;2.1%;;14.9%;14.9%;12.8%;10.6%;4.3%;6.4%;4.3%;;;;8.5%;;;;;;;;4.3%;
;;;;;;006;10585;Paulson, Shane C.;9.3%;12.0%;4.0%;;18.7%;8.0%;22.7%;9.3%;5.3%;6.7%;;1.3%;1.3%;;;;;;;;;;1.3%;
;;20401;Aeromechanics II Lab;202420;Spring 2024;001;10003;Williams, Steven A.;52.6%;;42.1%;;;;;;;;5.3%;;;;;;;;;;;;;
;;;;;;002;10004;Chamberlain, Jarrett G.;73.7%;15.8%;5.3%;;;;;;;;;;;;;;;;;;;;5.3%;
;;;;;;006;10008;Plohetski, Brian J.;47.4%;5.3%;47.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;011;37250;Lokhande, Monish M.;;;95.0%;;;;;;;;;;;;;;;;;;;;5.0%;
;;;;;;013;43648;Mishra, Ritik K.;35.3%;;58.8%;;5.9%;;;;;;;;;;;;;;;;;;;
;;;;;;014;43649;Hu, Hanyao;90.0%;;10.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;015;47686;Mishra, Ritik K.;5.0%;15.0%;80.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;017;18954;Chandrasekar, Reshma;61.1%;5.6%;27.8%;;;;;;;;;;;;;;;;;;;;5.6%;
;;;;;;019;23081;Plohetski, Brian J.;80.0%;5.0%;15.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;021;26753;Chandrasekar, Reshma;60.0%;5.0%;20.0%;;5.0%;;5.0%;;;;;;;;;;;;;;;;5.0%;
;;;;;;022;26755;Williams, Steven A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;023;26756;Zhen, Jiaping;40.0%;;55.0%;;;;;;;;;;;;;;;;;;;;5.0%;
;;;;;;024;16227;Chang, Brian C.;47.4%;5.3%;47.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;025;16229;Zhen, Jiaping;55.0%;5.0%;35.0%;;;;;;;5.0%;;;;;;;;;;;;;;
;;25100;Intro Aerospace Design;202420;Spring 2024;001;10013;Cunningham, Thomas F.;18.2%;43.2%;;;4.5%;6.8%;18.2%;6.8%;;;;;;;;;;;;;;;;2.3%
;;;;;;002;10021;De Camargo Branco, Danilo;32.2%;32.2%;6.8%;;5.1%;1.7%;18.6%;;;1.7%;;;;;;;;;;;;;1.7%;
;;;;;;003;10586;De Camargo Branco, Danilo;12.2%;14.6%;14.6%;;7.3%;14.6%;31.7%;;;;;;;;;;;;;;;;4.9%;
;;30000;Ugrad Junior Seminar;202420;Spring 2024;001;26217;Marais, Karen;;;;;;;;;;;;;;;;;;;;92.7%;;6.4%;0.9%;
;;30100;Sig Anly For Aero Engr;202420;Spring 2024;001;10014;Sun, Dengfeng;52.3%;;9.2%;;32.3%;;;1.5%;;;1.5%;;;;1.5%;;;;;;;;1.5%;
;;;;;;002;16255;Sun, Dengfeng;47.4%;;1.8%;;22.8%;;;14.0%;;;5.3%;;;;3.5%;;;;;;;;5.3%;
;;;Sig Anly For Aero Engr-Honors;202420;Spring 2024;001;10014;Sun, Dengfeng;;;;;100.0%;;;;;;;;;;;;;;;;;;;
;;33300;Fluid Mechanics;202420;Spring 2024;001;10015;Shih, Tom I.;27.6%;20.0%;;1.0%;15.2%;4.8%;14.3%;4.8%;3.8%;1.0%;1.9%;;;;2.9%;;;;;;;;2.9%;
;;33400;Aerodynamics;202420;Spring 2024;001;10025;Blaisdell, Gregory A.;9.0%;14.6%;3.5%;;16.0%;13.9%;11.1%;5.6%;3.5%;11.8%;0.7%;;3.5%;;4.2%;;;;;;;;2.8%;
;;;;;;002;10028;Canino, James V.;13.8%;16.9%;5.0%;;15.6%;11.3%;12.5%;6.3%;2.5%;10.0%;1.3%;0.6%;1.9%;;1.9%;;;;;;;;0.6%;
;;33401;Aerodynamics Lab;202420;Spring 2024;005;10030;Anilkumar, Aditya;71.4%;7.1%;14.3%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;;;;010;55590;Moy, Chandler J.;35.7%;14.3%;35.7%;;;;7.1%;;;;;;;;;;;;;;;;7.1%;
;;;;;;013;18919;Moy, Chandler J.;42.9%;14.3%;;;14.3%;7.1%;14.3%;;;7.1%;;;;;;;;;;;;;;
;;;;;;014;18023;Jantze, Karl M.;21.4%;7.1%;71.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;015;18030;Jantze, Karl M.;28.6%;7.1%;57.1%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;;;;018;12167;Gajjar, Pallavi J.;35.7%;7.1%;28.6%;;7.1%;7.1%;14.3%;;;;;;;;;;;;;;;;;
;;;;;;019;23022;Gajjar, Pallavi J.;61.5%;15.4%;15.4%;;;;;7.7%;;;;;;;;;;;;;;;;
;;;;;;021;23034;Rajashekar Adiga, Arjun;30.8%;;53.8%;;;7.7%;7.7%;;;;;;;;;;;;;;;;;
;;;;;;022;17952;Anilkumar, Aditya;42.9%;7.1%;28.6%;;7.1%;;7.1%;;;7.1%;;;;;;;;;;;;;;
;;;;;;023;17955;Anilkumar, Aditya;25.0%;16.7%;16.7%;;25.0%;;16.7%;;;;;;;;;;;;;;;;;
;;;;;;024;10032;Lear, Alyssa V.;30.8%;;38.5%;;;7.7%;23.1%;;;;;;;;;;;;;;;;;
;;;;;;027;16125;Moy, Chandler J.;35.7%;7.1%;7.1%;;;28.6%;7.1%;7.1%;;;;;;;;;;;;;;;7.1%;
;;;;;;028;16136;Farmer, Samarpan;64.3%;7.1%;21.4%;;;;;;;;;;;;;;;;;;;;7.1%;
;;;;;;030;16146;Farmer, Samarpan;57.1%;7.1%;28.6%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;031;16148;Padmanabhan, Pratyush;30.8%;15.4%;30.8%;;7.7%;7.7%;7.7%;;;;;;;;;;;;;;;;;
;;;;;;032;16173;Lear, Alyssa V.;35.7%;28.6%;21.4%;;;;;7.1%;;7.1%;;;;;;;;;;;;;;
;;;;;;033;16177;Lear, Alyssa V.;35.7%;7.1%;35.7%;;;;7.1%;;;7.1%;;;;;;;;;;;;;7.1%;
;;33800;Thermal Sciences;202420;Spring 2024;001;12475;Maeda, Kazuki;8.0%;10.0%;4.0%;;19.0%;14.0%;14.0%;8.0%;4.0%;13.0%;1.0%;;;;3.0%;;;;;;;;2.0%;
;;33900;Aerospace Propulsion;202420;Spring 2024;001;15895;Anderson, William E.;15.7%;4.3%;2.9%;;15.7%;7.1%;21.4%;7.1%;8.6%;11.4%;4.3%;;1.4%;;;;;;;;;;;
;;;;;;002;14589;Wang, Haifeng;7.1%;10.0%;1.4%;;11.4%;7.1%;24.3%;8.6%;12.9%;8.6%;2.9%;;2.9%;;;;;;;;;;2.9%;
;;;;;;003;10587;Anderson, William E.;2.7%;10.8%;4.1%;;16.2%;8.1%;23.0%;5.4%;6.8%;8.1%;;1.4%;2.7%;;1.4%;;;;;;;;9.5%;
;;34000;Dynamics & Vibrations;202420;Spring 2024;001;10035;LeGrand, Keith A.;39.3%;;13.1%;;27.9%;;;6.6%;;;6.6%;;;;1.6%;;;;;;;;4.9%;
;;;;;;002;10040;Joshi, Pankaj;27.1%;;;;38.6%;;;24.3%;;;5.7%;;;;1.4%;;;;;;;;2.9%;
;;;;;;003;10591;Bhadauria, Surabhi;28.1%;;8.8%;;31.6%;;;26.3%;;;3.5%;;;;1.8%;;;;;;;;;
;;;;;;004;10594;Joshi, Pankaj;19.4%;;2.8%;;44.4%;;;25.0%;;;5.6%;;;;1.4%;;;;;;;;1.4%;
;;35200;Structural Analysis I;202420;Spring 2024;001;10038;Yu, Wenbin;6.7%;10.0%;3.3%;;6.7%;20.0%;10.0%;3.3%;6.7%;13.3%;;10.0%;3.3%;;3.3%;3.3%;;;;;;;;
;;;;;;002;10595;Agyei, Ronald F.;5.9%;11.8%;;;17.6%;17.6%;9.8%;13.7%;3.9%;5.9%;5.9%;2.0%;;;3.9%;;;;;;;;2.0%;
;;35201;Struct Anly I Lab;202420;Spring 2024;003;10041;Hariguchi, Nanami;25.0%;43.8%;12.5%;;18.8%;;;;;;;;;;;;;;;;;;;
;;;;;;005;11299;Hariguchi, Nanami;23.5%;64.7%;5.9%;;5.9%;;;;;;;;;;;;;;;;;;;
;;36400;Control System Anly;202420;Spring 2024;001;10043;Goppert, James M.;15.9%;13.0%;;;23.2%;8.7%;18.8%;7.2%;4.3%;4.3%;1.4%;;;;;;;;;;;;2.9%;
;;;;;;002;16183;Mou, Shaoshuai;12.0%;13.0%;4.3%;;14.1%;13.0%;20.7%;5.4%;3.3%;6.5%;2.2%;1.1%;1.1%;;3.3%;;;;;;;;;
;;;;;;003;16185;Frazho, Arthur E.;12.1%;12.1%;;;12.1%;12.1%;12.1%;6.1%;3.0%;13.6%;4.5%;;4.5%;;4.5%;;;;;;;;3.0%;
