Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;w_f
AAE;AAE-Aero & Astro Engineering;20000;Ugrad Sophomore Seminar;202520;Spring 2025;001;26216;Marais, Karen;;;;;;;;;;;;;;;;;;;;93.3%;;3.3%;3.3%;
;;20300;Aeromechanics I;202520;Spring 2025;001;10001;Lu, Zehui;21.9%;15.6%;21.9%;;9.4%;10.4%;9.4%;;2.1%;2.1%;;;;;;;;;;;;;7.3%;
;;20400;Aeromechanics II;202520;Spring 2025;002;42578;Paulson, Shane C.;12.0%;14.1%;6.5%;;6.5%;17.4%;17.4%;8.7%;1.1%;7.6%;;;3.3%;;1.1%;;;;;;;;4.3%;
;;;;;;003;13056;Joshi, Pankaj;5.9%;8.8%;2.9%;;19.1%;16.2%;5.9%;17.6%;2.9%;7.4%;2.9%;2.9%;2.9%;;1.5%;;;;;;;;2.9%;
;;;;;;004;23944;Agyei, Ronald F.;4.2%;11.6%;9.5%;;13.7%;20.0%;11.6%;7.4%;1.1%;13.7%;;2.1%;;;;1.1%;;;;;;;4.2%;
;;;;;;005;15208;Alstrom, Robert B.;8.3%;;;;20.8%;10.4%;14.6%;10.4%;2.1%;10.4%;2.1%;2.1%;2.1%;;4.2%;2.1%;;;;;;;10.4%;
;;;Aeromechanics II-Honors;202520;Spring 2025;002;42578;Paulson, Shane C.;33.3%;33.3%;;;;;33.3%;;;;;;;;;;;;;;;;;
;;;;;;003;13056;Joshi, Pankaj;50.0%;;;;50.0%;;;;;;;;;;;;;;;;;;;
;;;;;;004;23944;Agyei, Ronald F.;;33.3%;;;;;;33.3%;;33.3%;;;;;;;;;;;;;;
;;;;;;005;15208;Alstrom, Robert B.;;;;;;;;;100.0%;;;;;;;;;;;;;;;
;;20401;Aeromechanics II Lab;202520;Spring 2025;001;10003;Yoon, Seongmin;63.6%;;;;9.1%;;27.3%;;;;;;;;;;;;;;;;;
;;;;;;002;10004;Simpson Crusafon, Pau;75.0%;;16.7%;;8.3%;;;;;;;;;;;;;;;;;;;
;;;;;;006;10008;Stewart, Zachary T.;70.0%;15.0%;;;5.0%;;10.0%;;;;;;;;;;;;;;;;;
;;;;;;009;10011;Stewart, Zachary T.;52.9%;;;;17.6%;;23.5%;;;;;;;;5.9%;;;;;;;;;
;;;;;;011;37250;Sarang, Amogha;78.9%;;10.5%;;10.5%;;;;;;;;;;;;;;;;;;;
;;;;;;013;43648;Stewart, Zachary T.;40.0%;10.0%;25.0%;;;;20.0%;5.0%;;;;;;;;;;;;;;;;
;;;;;;014;43649;Glimcher, Matthew S.;58.8%;;23.5%;;11.8%;;5.9%;;;;;;;;;;;;;;;;;
;;;;;;015;47686;Simpson Crusafon, Pau;80.0%;5.0%;;;;;;5.0%;;5.0%;;;5.0%;;;;;;;;;;;
;;;;;;017;18954;Sun, Yao;45.0%;;5.0%;;25.0%;;;5.0%;;15.0%;;;;;;;;;;;;;5.0%;
;;;;;;018;18957;Sarang, Amogha;89.5%;;;;;;;;;;;;;;;;;;;;;;10.5%;
;;;;;;019;23081;Aden, Austin M.;45.0%;40.0%;5.0%;;10.0%;;;;;;;;;;;;;;;;;;;
;;;;;;021;26753;Simpson Crusafon, Pau;75.0%;;;;6.3%;;12.5%;;;6.3%;;;;;;;;;;;;;;
;;;;;;022;26755;Aden, Austin M.;80.0%;;5.0%;;5.0%;;10.0%;;;;;;;;;;;;;;;;;
;;;;;;024;16227;Sarang, Amogha;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;026;16230;Yen, Tyler Z.;87.5%;;;;;;6.3%;;;;;;;;6.3%;;;;;;;;;
;;;;;;027;29981;Aden, Austin M.;63.6%;;;;18.2%;;9.1%;;;;;;;;;;;;;;;;9.1%;
;;25100;Intro Aerospace Design;202520;Spring 2025;001;10013;Paulson, Shane C.;22.0%;52.5%;5.1%;;;5.1%;11.9%;3.4%;;;;;;;;;;;;;;;;
;;;;;;002;10021;Chakraborty, Suman;28.3%;33.3%;3.3%;;8.3%;5.0%;18.3%;1.7%;;;;;;;1.7%;;;;;;;;;
;;;;;;003;10586;Burton, Alexander B.;25.0%;56.8%;4.5%;;4.5%;4.5%;2.3%;;;2.3%;;;;;;;;;;;;;;
;;29199;Cooperative Experience I;202520;Spring 2025;001;59497;Hall, Kennedy A.;;;;;;;;;;;;;;;;;;;;91.7%;8.3%;;;
;;30000;Ugrad Junior Seminar;202520;Spring 2025;001;26217;Marais, Karen;;;;;;;;;;;;;;;;;;;;95.2%;;3.8%;1.0%;
;;30100;Sig Anly For Aero Engr;202520;Spring 2025;001;10014;Frazho, Arthur E.;11.3%;6.5%;9.7%;;17.7%;11.3%;14.5%;9.7%;4.8%;4.8%;;;;;4.8%;1.6%;;;;;;;3.2%;
;;;;;;002;16255;Li, Husheng;12.2%;8.1%;9.5%;;18.9%;8.1%;20.3%;6.8%;4.1%;8.1%;;;;;1.4%;;;;;;;;2.7%;
;;33300;Fluid Mechanics;202520;Spring 2025;001;10015;Chynoweth, Brandon C.;14.9%;13.2%;3.3%;;21.5%;13.2%;9.9%;7.4%;4.1%;7.4%;0.8%;0.8%;;;1.7%;;;;;;;;1.7%;
;;33301;Fluid Mechanics Lab;202520;Spring 2025;011;18918;Gardinier, Gage G.;85.7%;;7.1%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;;;;012;19806;Chamberlain, Jarrett G.;16.7%;;83.3%;;;;;;;;;;;;;;;;;;;;;
;;;;;;014;23310;Padmanabhan, Pratyush;57.1%;7.1%;35.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;015;11634;Myers, Andrew P.;42.9%;7.1%;42.9%;;;;;;;7.1%;;;;;;;;;;;;;;
;;;;;;016;11635;Zabalegui Lopez, Erik;69.2%;;23.1%;;;;;;;;;;;;;;;;;;;;7.7%;
;;;;;;017;11641;Chamberlain, Jarrett G.;35.7%;;64.3%;;;;;;;;;;;;;;;;;;;;;
;;;;;;018;13059;Padmanabhan, Pratyush;28.6%;7.1%;57.1%;;;;;;;7.1%;;;;;;;;;;;;;;
;;;;;;019;13062;Myers, Andrew P.;35.7%;7.1%;57.1%;;;;;;;;;;;;;;;;;;;;;
;;33400;Aerodynamics;202520;Spring 2025;001;10025;Canino, James V.;11.3%;12.5%;7.5%;;1.3%;13.8%;20.0%;10.0%;2.5%;7.5%;2.5%;1.3%;2.5%;;6.3%;;;;;;;;1.3%;
;;;;;;002;10028;Canino, James V.;10.5%;17.1%;5.9%;;10.5%;8.6%;17.1%;7.2%;4.6%;9.2%;1.3%;1.3%;;;5.3%;;;;;;;;1.3%;
;;33401;Aerodynamics Lab;202520;Spring 2025;002;10027;Rajashekar Adiga, Arjun;63.6%;;18.2%;;;;18.2%;;;;;;;;;;;;;;;;;
;;;;;;004;10029;Pati, Biswaranjan;61.5%;;30.8%;;;;;;;;;;;;;;;;;;;;7.7%;
;;;;;;005;10030;Pugia, Steven M.;42.9%;28.6%;28.6%;;;;;;;;;;;;;;;;;;;;;
;;;;;;010;55590;Hsieh, Tsung Ming;41.7%;;50.0%;;;8.3%;;;;;;;;;;;;;;;;;;
;;;;;;013;18919;Rajashekar Adiga, Arjun;41.7%;16.7%;41.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;014;18023;Velte, Robert P.;71.4%;7.1%;7.1%;;7.1%;;;7.1%;;;;;;;;;;;;;;;;
;;;;;;015;18030;Nazir, Sana;28.6%;7.1%;57.1%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;;;;021;23034;Organski, Lee E.;53.8%;7.7%;30.8%;;;;;;;7.7%;;;;;;;;;;;;;;
;;;;;;022;17952;Hsieh, Tsung Ming;28.6%;;64.3%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;024;10032;Anilkumar, Aditya;71.4%;;21.4%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;026;16124;Wang, Yu-Kai;63.6%;;9.1%;;18.2%;;9.1%;;;;;;;;;;;;;;;;;
;;;;;;030;16146;Nazir, Sana;71.4%;14.3%;14.3%;;;;;;;;;;;;;;;;;;;;;
;;;;;;031;16148;Inanc, Ece;57.1%;14.3%;14.3%;;7.1%;;;7.1%;;;;;;;;;;;;;;;;
;;33800;Thermal Sciences;202520;Spring 2025;001;12475;Wang, Haifeng;15.5%;18.3%;;;25.4%;;7.0%;15.5%;2.8%;14.1%;1.4%;;;;;;;;;;;;;
;;33900;Aerospace Propulsion;202520;Spring 2025;001;15895;Anderson, William E.;15.4%;3.1%;3.1%;;35.4%;1.5%;9.2%;18.5%;3.1%;1.5%;4.6%;1.5%;;;;;;;;;;;3.1%;
;;;;;;002;14589;Anderson, William E.;4.8%;3.2%;;;36.5%;3.2%;6.3%;19.0%;6.3%;6.3%;1.6%;1.6%;1.6%;;6.3%;;;;;;;;3.2%;
;;;;;;003;10587;Wang, Haifeng;4.8%;2.4%;;;28.6%;;;28.6%;7.1%;7.1%;7.1%;2.4%;2.4%;;;2.4%;;;;;;;7.1%;
;;34000;Dynamics & Vibrations;202520;Spring 2025;001;10035;Cunningham, Thomas F.;8.1%;15.2%;2.0%;;19.2%;11.1%;16.2%;4.0%;4.0%;11.1%;;1.0%;5.1%;;3.0%;;;;;;;;;
;;;;;;002;10040;Burton, Alexander B.;7.0%;15.5%;1.4%;;9.9%;15.5%;12.7%;2.8%;8.5%;14.1%;2.8%;1.4%;5.6%;;2.8%;;;;;;;;;
