AAE;AAE-Aero & Astro Engineering;20300;Aeromechanics I;202330;Summer 2023;002;32008;Cunningham, Thomas F.;27.3%;;;;43.2%;;;18.2%;;;6.8%;;;2.3%;;;;;;;;2.3%;
AAE;AAE-Aero & Astro Engineering;20400;Aeromechanics II;202330;Summer 2023;003;32009;De Camargo Branco, Danilo;27.8%;;5.6%;;44.4%;;5.6%;;;;11.1%;;;5.6%;;;;;;;;;
AAE;AAE-Aero & Astro Engineering;33300;Fluid Mechanics;202330;Summer 2023;003;32011;Lee, Chien-shing;31.3%;6.3%;18.8%;;6.3%;6.3%;12.5%;6.3%;;6.3%;;;;;;;;;;;;6.3%;
AAE;AAE-Aero & Astro Engineering;33400;Aerodynamics;202330;Summer 2023;002;32012;Bane, Sally P.;42.9%;8.6%;14.3%;;8.6%;8.6%;5.7%;;;2.9%;;;;8.6%;;;;;;;;;
AAE;AAE-Aero & Astro Engineering;35200;Structural Analysis I;202330;Summer 2023;003;32013;Hassan, Hashim;13.0%;10.9%;2.2%;;6.5%;19.6%;17.4%;2.2%;6.5%;15.2%;2.2%;;;4.3%;;;;;;;;;
AAE;AAE-Aero & Astro Engineering;41800;Zero-Gravity Flt Exper;202330;Summer 2023;001;22551;Collicott, Steven H.;100.0%;;;;;;;;;;;;;;;;;;;;;;
AAE;AAE-Aero & Astro Engineering;49000;Aero And Astro Engineering Exp;202330;Summer 2023;001;35156;Nyquist, Chell E.;;;;;;;;;;;;;;;;;100.0%;;;;;;
AAS;AAS-African American Studies;27100;Intro African American Studies;202330;Summer 2023;001;28796;Dennis, Araba F.;8.3%;29.2%;;;8.3%;16.7%;12.5%;;;8.3%;8.3%;;4.2%;4.2%;;;;;;;;;
ABE;ABE-Agri & Biol Engineering;69900;Research PhD Thesis;202330;Summer 2023;035;25253;Clase, Kari L.;;;;;;;;;;;;;;;;;;;100.0%;;;;
AD;AD-Art & Design;10600;Design II;202330;Summer 2023;001;16992;Peterson, Jessica M.;56.3%;25.0%;;;6.3%;;12.5%;;;;;;;;;;;;;;;;
AD;AD-Art & Design;24200;Ceramics I;202330;Summer 2023;001;28831;Brown, Desirae R.;50.0%;;25.0%;;;;8.3%;;;8.3%;;;;;;;;;;;;8.3%;
AD;AD-Art & Design;25500;Art Appreciation;202330;Summer 2023;001;10499;Peterson, Jessica M.;56.7%;;30.0%;;3.3%;;3.3%;;;;;;;3.3%;3.3%;;;;;;;;
